GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;62;59;64;75;CIVIL ENGINEERING;100;81;98;87;80;179;193;97;5;4;3;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;55;66;64;80;INDUSTRIAL ENGINEERING;84;81;88;98;54;168;181;91;5;4;4;4
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;63;53;51;52;73;CHEMICAL ENGINEERING;82;33;22;76;71;124;153;61;4;3;2;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;61;60;59;55;76;INDUSTRIAL ENGINEERING;92;85;23;95;95;118;178;89;5;4;4;4
M;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;63;75;53;75;88;MECHANICAL ENGINEERING;93;98;93;98;76;125;195;98;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;43;48;68;85;CIVIL ENGINEERING;47;35;43;93;34;148;151;59;3;3;4;4
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;81;68;81;82;CHEMICAL ENGINEERING;100;86;100;98;98;167;208;100;5;4;2;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;62;45;64;70;INDUSTRIAL ENGINEERING;90;51;68;90;88;155;175;87;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;77;75;61;81;100;MECHANICAL ENGINEERING;95;98;97;100;34;155;194;98;5;4;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;67;64;68;88;INDUSTRIAL ENGINEERING;91;97;93;96;86;162;195;98;5;4;4;4
F;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;62;53;50;52;49;INDUSTRIAL ENGINEERING;59;53;25;38;3;159;131;26;2;2;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;65;76;85;92;ELECTRONIC ENGINEERING;91;93;88;97;78;181;190;96;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;67;75;72;78;96;MECHANICAL ENGINEERING;99;66;97;100;80;174;195;98;5;4;3;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;64;59;75;96;AERONAUTICAL ENGINEERING;95;70;1;99;96;79;171;83;5;4;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;65;62;57;63;82;MECHANICAL ENGINEERING;99;85;95;96;64;164;192;97;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;75;61;70;92;CIVIL ENGINEERING;98;90;20;92;85;68;178;89;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;77;75;72;75;88;CIVIL ENGINEERING;83;99;100;98;86;201;200;99;5;4;4;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;62;57;75;82;CHEMICAL ENGINEERING;98;95;71;94;36;136;182;92;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;39;57;61;48;42;INDUSTRIAL ENGINEERING;18;16;1;18;23;129;111;6;1;1;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;53;55;46;60;CIVIL ENGINEERING;78;51;54;60;33;135;152;59;3;3;4;2
M;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PUBLIC;ACADEMIC;58;58;48;60;50;MECHATRONICS ENGINEERING;81;79;62;61;6;162;153;61;4;3;2;2
M;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;69;65;68;78;85;ELECTRONIC ENGINEERING;93;78;1;96;96;168;168;80;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;81;78;100;96;INDUSTRIAL ENGINEERING;98;89;62;100;41;177;182;92;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;48;53;49;52;50;INDUSTRIAL ENGINEERING;51;40;20;22;71;97;139;39;2;2;3;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;60;74;64;82;CIVIL ENGINEERING;88;77;78;92;32;175;172;85;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;71;66;72;88;INDUSTRIAL ENGINEERING;100;99;94;100;60;178;217;100;5;4;4;4
